 省市 ,隐性债务化解/退出重点省份,融资平台退出/转型,风险等级变化,其他化债举措
 北京市 ,-,-,-,"强化政府债务""借用管还""全生命周期管理"
 天津市 ,-,全市新退出53家,-,全面完成清欠企业账款年度任务
 上海市 ,-,-,-,强化专项债券穿透式监测，有效防范债券资金使用风险。加强地方债发行管理，降低政府融资成本
 重庆市 ,-,-,-,全市债务成本稳步降低，结构持续优化。完善政府债券“借用管还”全周期治理机制，扩大应急周转金规模。
 河北省 ,-,-,-,坚决把不新增隐性债务作为“铁的纪律”
 山西省 ,-,-,-,"强化政府债务""借用管还""全生命周期管理"
 辽宁省 ,-,融资平台数量累计压降85.2%,"盘锦市""摘掉全域红色帽子""","建立""全口径""地方债务监测监管体系"
 吉林省 ,正式退出地方债务重点省份，高风险金融机构全面清零,-,-,
 黑龙江省 ,超额完成年度政府隐性债务化解任务,政府债务化解和融资平台改革转型年度任务超额完成，地方中小金融机构改革化险稳妥推进,-,-
 江苏省 ,-,-,-,"建立并推广""1315""债务管理体系"
 浙江省 ,-,-,-,"建立""全口径""地方债务监测监管体系,持续加大非法金融活动打击力度，建立健全地方债务管理长效机制。"
 安徽省 ,-,-,-,统筹推进房地产、地方政府债务、地方中小金融机构等风险化解
 福建省 ,-,-,-,-
 江西省 ,隐性债务累计化解和融资平台退出均超序时进度,退出346家融资平台,-,"多渠道统筹化债资源,推进落实一揽子化债方案"
 山东省 ,-,加快融资平台和城投公司改革转型，有序化解存量债务,-,严禁违规新增隐性债务
 河南省 ,-,-,-,积极有序化解地方政府债务风险
 湖北省 ,-,-,-,积极有序化解地方政府债务风险
 湖南省 ,超额完成年度隐性债务化解任务,年度化债任务完成率达120%，退出融资平台304家，债务结构明显优化,-,坚决守住财政安全底线。化解地方债务风险。落实中央一揽子化债政策
 广东省 ,率先开展全域无隐性债务试点，成为全国首个全部化解存量隐性债务省份，保持隐性债务“零增长”,-,-,-
 海南省 ,-,-,-,"强化政府债务""借用管还""全生命周期管理"
 四川省 ,-,-,-,"建立""全口径""地方债务监测监管体系；用好专项债券置换"
 贵州省 ,-,指导市县制定完善融资平台退出后改革重组方案,-,严禁新设或异化产生各类融资平台
 云南省 ,-,-,-,-
 陕西省 ,-,退出170家融资平台,-,"建立""全口径""地方债务监测监管体系"
 甘肃省 ,36个市县实现隐性债务提前清零；推动有条件的市县提前实现隐性债务清零,退出213户融资平台，压降81.3%,兰州市4个高债务率县区风险降级,-
 青海省 ,确保退出地方债务重点省份,-,-,积极有序化解地方债务风险，坚决遏制新增隐性债务
 内蒙古自治区 ,-,-,"包头市、乌海市等实现""退橙""或""退红""",-
 广西自治区 ,抓好隐性债务化解、融资平台退出、金融债务规模压降等工作。柳州、来宾等重点地市债务规模有序压降。,-,-,通过发行专项债置换，实现每年节省利息10亿元以上
 西藏自治区 ,实施金融风险化解动态清零行动，推进全域隐性债务清零，有效化解地方政府融资平台经营性债务风险,-,政府债务风险保持绿色等级,-
 宁夏自治区 ,合规拓展化债渠道，部分市县实现隐债提前清零；存量非标债务全面清零，圆满化解重点平台债务风险,加快推动融资平台转型，“331”以来平台压降比例位居全国前列,-,统筹安排政府债券资金支持清欠企业账款，提前完成清欠任务，位列全国第三
 新疆自治区 ,自治区存量隐性债务全部化解,-,-,-
